DesignIndex,RadiusSetId,RadiusSet_um,TargetFillFactor,MinDistanceFactor,Seed,IslandCount,ActualFillFactor,TopKPeakRatio,PeakBackgroundRatioPenalty,HazeRisk,HazeRiskPenalty,Objective
460,4,[0.6 1 1.4 1.8],0.45,1,10,520,0.26342041015625,0.635859247335491,0.16393433533264,0.145877510635154,0.00158759503001376,0.701174239851984
488,5,[0.8 1 1.4 1.8 2.2],0.3,1,8,343,0.25236572265625,0.635305582822469,0.125498146187266,0.174183632638483,0.0046445258370239,0.702452563173132
518,5,[0.8 1 1.4 1.8 2.2],0.35,1,8,344,0.25256591796875,0.635305582822469,0.125498146187266,0.174183632638483,0.0046445258370239,0.702452563173132
548,5,[0.8 1 1.4 1.8 2.2],0.4,1,8,344,0.25256591796875,0.635305582822469,0.125498146187266,0.174183632638483,0.0046445258370239,0.702452563173132
578,5,[0.8 1 1.4 1.8 2.2],0.45,1,8,344,0.25256591796875,0.635305582822469,0.125498146187266,0.174183632638483,0.0046445258370239,0.702452563173132
246,3,[0.8 1.2 1.6 2],0.3,1,6,413,0.2759912109375,0.638423417138563,0.140628868648816,0.160529156972445,0.00296984480505482,0.702492745190923
276,3,[0.8 1.2 1.6 2],0.35,1,6,413,0.2759912109375,0.638423417138563,0.140628868648816,0.160529156972445,0.00296984480505482,0.702492745190923
306,3,[0.8 1.2 1.6 2],0.4,1,6,413,0.2759912109375,0.638423417138563,0.140628868648816,0.160529156972445,0.00296984480505482,0.702492745190923
336,3,[0.8 1.2 1.6 2],0.45,1,6,413,0.2759912109375,0.638423417138563,0.140628868648816,0.160529156972445,0.00296984480505482,0.702492745190923
363,4,[0.6 1 1.4 1.8],0.3,1,3,506,0.2559521484375,0.638192946442541,0.149659221333502,0.155449410011429,0.00244199398352862,0.70278364382691
393,4,[0.6 1 1.4 1.8],0.35,1,3,506,0.2559521484375,0.638192946442541,0.149659221333502,0.155449410011429,0.00244199398352862,0.70278364382691
423,4,[0.6 1 1.4 1.8],0.4,1,3,506,0.2559521484375,0.638192946442541,0.149659221333502,0.155449410011429,0.00244199398352862,0.70278364382691
453,4,[0.6 1 1.4 1.8],0.45,1,3,506,0.2559521484375,0.638192946442541,0.149659221333502,0.155449410011429,0.00244199398352862,0.70278364382691
185,2,[0.8 1.2 1.8],0.4,1,5,516,0.2901611328125,0.632857571580066,0.166291683711041,0.154824989967867,0.00238067053338599,0.702963013545861
215,2,[0.8 1.2 1.8],0.45,1,5,516,0.2901611328125,0.632857571580066,0.166291683711041,0.154824989967867,0.00238067053338599,0.702963013545861
335,3,[0.8 1.2 1.6 2],0.45,1,5,418,0.28636474609375,0.636252272023912,0.139624241004648,0.166002947337602,0.00359640963806022,0.70310280456584
13,1,[1 1.5],0.3,1.2,3,515,0.26197509765625,0.634805564811192,0.169639434885184,0.1483126908269,0.00178758286998504,0.703117281370932
43,1,[1 1.5],0.35,1.2,3,515,0.26197509765625,0.634805564811192,0.169639434885184,0.1483126908269,0.00178758286998504,0.703117281370932
73,1,[1 1.5],0.4,1.2,3,515,0.26197509765625,0.634805564811192,0.169639434885184,0.1483126908269,0.00178758286998504,0.703117281370932
103,1,[1 1.5],0.45,1.2,3,516,0.26267333984375,0.634805564811192,0.169639434885184,0.1483126908269,0.00178758286998504,0.703117281370932
485,5,[0.8 1 1.4 1.8 2.2],0.3,1,5,352,0.25074462890625,0.629300870195825,0.114187947454671,0.188944010110907,0.00687425641093495,0.703637933859635
515,5,[0.8 1 1.4 1.8 2.2],0.35,1,5,353,0.25135986328125,0.629300870195825,0.114187947454671,0.188944010110907,0.00687425641093495,0.703637933859635
545,5,[0.8 1 1.4 1.8 2.2],0.4,1,5,353,0.25135986328125,0.629300870195825,0.114187947454671,0.188944010110907,0.00687425641093495,0.703637933859635
575,5,[0.8 1 1.4 1.8 2.2],0.45,1,5,353,0.25135986328125,0.629300870195825,0.114187947454671,0.188944010110907,0.00687425641093495,0.703637933859635
125,2,[0.8 1.2 1.8],0.3,1,5,511,0.287841796875,0.633698832392723,0.164782413265293,0.155647653584805,0.00246162630521656,0.703680808561658
155,2,[0.8 1.2 1.8],0.35,1,5,513,0.288740234375,0.633698832392723,0.164782413265293,0.155647653584805,0.00246162630521656,0.703680808561658
305,3,[0.8 1.2 1.6 2],0.4,1,5,417,0.28556884765625,0.637598873686901,0.137575528392312,0.16672509401575,0.0036835455116839,0.70416803618263
244,3,[0.8 1.2 1.6 2],0.3,1,4,416,0.279794921875,0.641025173335171,0.141866538906605,0.158764622599606,0.00278063725932229,0.704581648249094
274,3,[0.8 1.2 1.6 2],0.35,1,4,417,0.28024169921875,0.641025173335171,0.141866538906605,0.158764622599606,0.00278063725932229,0.704581648249094
304,3,[0.8 1.2 1.6 2],0.4,1,4,417,0.28024169921875,0.641025173335171,0.141866538906605,0.158764622599606,0.00278063725932229,0.704581648249094
334,3,[0.8 1.2 1.6 2],0.45,1,4,417,0.28024169921875,0.641025173335171,0.141866538906605,0.158764622599606,0.00278063725932229,0.704581648249094
247,3,[0.8 1.2 1.6 2],0.3,1,7,410,0.276953125,0.642799500700045,0.144396707347234,0.15395463251397,0.00229649489267807,0.704820822734967
277,3,[0.8 1.2 1.6 2],0.35,1,7,410,0.276953125,0.642799500700045,0.144396707347234,0.15395463251397,0.00229649489267807,0.704820822734967
307,3,[0.8 1.2 1.6 2],0.4,1,7,410,0.276953125,0.642799500700045,0.144396707347234,0.15395463251397,0.00229649489267807,0.704820822734967
337,3,[0.8 1.2 1.6 2],0.45,1,7,410,0.276953125,0.642799500700045,0.144396707347234,0.15395463251397,0.00229649489267807,0.704820822734967
